"date","year","month","day","9414001"
1979-01-01,"1979","01","01",162.59
1979-02-01,"1979","02","01",121.873
1979-03-01,"1979","03","01",99.983
1979-04-01,"1979","04","01",65.818
1979-05-01,"1979","05","01",32.248
1979-06-01,"1979","06","01",22.664
1979-07-01,"1979","07","01",27.143
1979-08-01,"1979","08","01",35.468
1979-09-01,"1979","09","01",55.496
1979-10-01,"1979","10","01",83.032
1979-11-01,"1979","11","01",110.026
1979-12-01,"1979","12","01",142.146
1980-01-01,"1980","01","01",154.634
1980-02-01,"1980","02","01",108.622
1980-03-01,"1980","03","01",99.305
1980-04-01,"1980","04","01",45.384
1980-05-01,"1980","05","01",30.355
1980-06-01,"1980","06","01",21.584
1980-07-01,"1980","07","01",24.66
1980-08-01,"1980","08","01",38.362
1980-09-01,"1980","09","01",63.864
1980-10-01,"1980","10","01",98.321
1980-11-01,"1980","11","01",111.989
1980-12-01,"1980","12","01",135.391
1981-01-01,"1981","01","01",133.276
1981-02-01,"1981","02","01",119.541
1981-03-01,"1981","03","01",97.954
1981-04-01,"1981","04","01",55.79
1981-05-01,"1981","05","01",30.187
1981-06-01,"1981","06","01",21.794
1981-07-01,"1981","07","01",27.452
1981-08-01,"1981","08","01",38.054
1981-09-01,"1981","09","01",57.501
1981-10-01,"1981","10","01",95.527
1981-11-01,"1981","11","01",114.085
1981-12-01,"1981","12","01",140.309
1982-01-01,"1982","01","01",151.498
1982-02-01,"1982","02","01",110.494
1982-03-01,"1982","03","01",95.727
1982-04-01,"1982","04","01",62.649
1982-05-01,"1982","05","01",33.556
1982-06-01,"1982","06","01",19.281
1982-07-01,"1982","07","01",22.416
1982-08-01,"1982","08","01",37.234
1982-09-01,"1982","09","01",60.469
1982-10-01,"1982","10","01",77.624
1982-11-01,"1982","11","01",102.817
1982-12-01,"1982","12","01",154.572
1983-01-01,"1983","01","01",156.729
1983-02-01,"1983","02","01",118.886
1983-03-01,"1983","03","01",94.897
1983-04-01,"1983","04","01",55.246
1983-05-01,"1983","05","01",32.093
1983-06-01,"1983","06","01",19.82
1983-07-01,"1983","07","01",23.328
1983-08-01,"1983","08","01",38.858
1983-09-01,"1983","09","01",55.948
1983-10-01,"1983","10","01",93.033
1983-11-01,"1983","11","01",131.197
1983-12-01,"1983","12","01",158.93
1984-01-01,"1984","01","01",145.293
1984-02-01,"1984","02","01",112.312
1984-03-01,"1984","03","01",98.47
1984-04-01,"1984","04","01",54.904
1984-05-01,"1984","05","01",25.256
1984-06-01,"1984","06","01",19.057
1984-07-01,"1984","07","01",23.637
1984-08-01,"1984","08","01",38.617
1984-09-01,"1984","09","01",61.021
1984-10-01,"1984","10","01",78.318
1984-11-01,"1984","11","01",112.562
1984-12-01,"1984","12","01",134.228
1985-01-01,"1985","01","01",145.976
1985-02-01,"1985","02","01",115.617
1985-03-01,"1985","03","01",90.896
1985-04-01,"1985","04","01",48.875
1985-05-01,"1985","05","01",32.034
1985-06-01,"1985","06","01",24.648
1985-07-01,"1985","07","01",27.698
1985-08-01,"1985","08","01",39.232
1985-09-01,"1985","09","01",67.251
1985-10-01,"1985","10","01",88.102
1985-11-01,"1985","11","01",129.723
1985-12-01,"1985","12","01",148.141
1986-01-01,"1986","01","01",142.167
1986-02-01,"1986","02","01",113.742
1986-03-01,"1986","03","01",89.894
1986-04-01,"1986","04","01",49.159
1986-05-01,"1986","05","01",30.338
1986-06-01,"1986","06","01",20.795
1986-07-01,"1986","07","01",26.583
1986-08-01,"1986","08","01",37.367
1986-09-01,"1986","09","01",61.821
1986-10-01,"1986","10","01",100.881
1986-11-01,"1986","11","01",105.327
1986-12-01,"1986","12","01",146.495
1987-01-01,"1987","01","01",158.958
1987-02-01,"1987","02","01",128.76
1987-03-01,"1987","03","01",100.815
1987-04-01,"1987","04","01",57.009
1987-05-01,"1987","05","01",31.03
1987-06-01,"1987","06","01",23.156
1987-07-01,"1987","07","01",25.228
1987-08-01,"1987","08","01",36.377
1987-09-01,"1987","09","01",57.804
1987-10-01,"1987","10","01",92.49
1987-11-01,"1987","11","01",124.327
1987-12-01,"1987","12","01",135.435
1988-01-01,"1988","01","01",140.946
1988-02-01,"1988","02","01",139.416
1988-03-01,"1988","03","01",91.413
1988-04-01,"1988","04","01",55.744
1988-05-01,"1988","05","01",34.55
1988-06-01,"1988","06","01",22.479
1988-07-01,"1988","07","01",24.784
1988-08-01,"1988","08","01",33.591
1988-09-01,"1988","09","01",59.846
1988-10-01,"1988","10","01",83.191
1988-11-01,"1988","11","01",121.13
1988-12-01,"1988","12","01",133.939
1989-01-01,"1989","01","01",151.592
1989-02-01,"1989","02","01",127.569
1989-03-01,"1989","03","01",95.95
1989-04-01,"1989","04","01",55.571
1989-05-01,"1989","05","01",36.92
1989-06-01,"1989","06","01",24.363
1989-07-01,"1989","07","01",25.43
1989-08-01,"1989","08","01",34.378
1989-09-01,"1989","09","01",64.35
1989-10-01,"1989","10","01",98.585
1989-11-01,"1989","11","01",119.55
1989-12-01,"1989","12","01",124.689
1990-01-01,"1990","01","01",151.649
1990-02-01,"1990","02","01",124.2
1990-03-01,"1990","03","01",93.206
1990-04-01,"1990","04","01",49.835
1990-05-01,"1990","05","01",31.507
1990-06-01,"1990","06","01",22.695
1990-07-01,"1990","07","01",25.892
1990-08-01,"1990","08","01",40.619
1990-09-01,"1990","09","01",63.405
1990-10-01,"1990","10","01",95.948
1990-11-01,"1990","11","01",116.757
1990-12-01,"1990","12","01",137.216
1991-01-01,"1991","01","01",142.149
1991-02-01,"1991","02","01",122.627
1991-03-01,"1991","03","01",95.947
1991-04-01,"1991","04","01",53.205
1991-05-01,"1991","05","01",34.829
1991-06-01,"1991","06","01",23.206
1991-07-01,"1991","07","01",22.552
1991-08-01,"1991","08","01",37.233
1991-09-01,"1991","09","01",59.595
1991-10-01,"1991","10","01",94.459
1991-11-01,"1991","11","01",115.528
1991-12-01,"1991","12","01",111.836
1992-01-01,"1992","01","01",163.41
1992-02-01,"1992","02","01",116.379
1992-03-01,"1992","03","01",95.725
1992-04-01,"1992","04","01",49.3
1992-05-01,"1992","05","01",27.403
1992-06-01,"1992","06","01",19.624
1992-07-01,"1992","07","01",22.046
1992-08-01,"1992","08","01",39.5
1992-09-01,"1992","09","01",59.426
1992-10-01,"1992","10","01",78.856
1992-11-01,"1992","11","01",116.38
1992-12-01,"1992","12","01",125.981
1993-01-01,"1993","01","01",139.224
1993-02-01,"1993","02","01",127.097
1993-03-01,"1993","03","01",94.135
1993-04-01,"1993","04","01",51.374
1993-05-01,"1993","05","01",27.089
1993-06-01,"1993","06","01",20.949
1993-07-01,"1993","07","01",23.336
1993-08-01,"1993","08","01",40.59
1993-09-01,"1993","09","01",62.541
1993-10-01,"1993","10","01",95.754
1993-11-01,"1993","11","01",106.132
1993-12-01,"1993","12","01",135.546
1994-01-01,"1994","01","01",154.734
1994-02-01,"1994","02","01",117.695
1994-03-01,"1994","03","01",106.28
1994-04-01,"1994","04","01",52.738
1994-05-01,"1994","05","01",32.964
1994-06-01,"1994","06","01",21.864
1994-07-01,"1994","07","01",23.956
1994-08-01,"1994","08","01",36.655
1994-09-01,"1994","09","01",57.603
1994-10-01,"1994","10","01",84.182
1994-11-01,"1994","11","01",110.622
1994-12-01,"1994","12","01",138.444
1995-01-01,"1995","01","01",139.039
1995-02-01,"1995","02","01",121.462
1995-03-01,"1995","03","01",96.789
1995-04-01,"1995","04","01",54.772
1995-05-01,"1995","05","01",36.829
1995-06-01,"1995","06","01",20.502
1995-07-01,"1995","07","01",20.453
1995-08-01,"1995","08","01",33.8
1995-09-01,"1995","09","01",62.403
1995-10-01,"1995","10","01",85.809
1995-11-01,"1995","11","01",120.936
1995-12-01,"1995","12","01",172.648
1996-01-01,"1996","01","01",140.626
1996-02-01,"1996","02","01",114.751
1996-03-01,"1996","03","01",93.608
1996-04-01,"1996","04","01",51.811
1996-05-01,"1996","05","01",36.314
1996-06-01,"1996","06","01",23.694
1996-07-01,"1996","07","01",28.948
1996-08-01,"1996","08","01",38.563
1996-09-01,"1996","09","01",65.893
1996-10-01,"1996","10","01",93.214
1996-11-01,"1996","11","01",114.949
1996-12-01,"1996","12","01",132.086
1997-01-01,"1997","01","01",139.122
1997-02-01,"1997","02","01",117.534
1997-03-01,"1997","03","01",108.211
1997-04-01,"1997","04","01",58.045
1997-05-01,"1997","05","01",38.499
1997-06-01,"1997","06","01",20.215
1997-07-01,"1997","07","01",24.089
1997-08-01,"1997","08","01",39.031
1997-09-01,"1997","09","01",58.329
