"date","year","month","day","9414001"
1979-01-01,1979,1,1,NA
1979-02-01,1979,2,1,NA
1979-03-01,1979,3,1,NA
1979-04-01,1979,4,1,NA
1979-05-01,1979,5,1,NA
1979-06-01,1979,6,1,NA
1979-07-01,1979,7,1,NA
1979-08-01,1979,8,1,NA
1979-09-01,1979,9,1,NA
1979-10-01,1979,10,1,NA
1979-11-01,1979,11,1,NA
1979-12-01,1979,12,1,NA
1980-01-01,1980,1,1,NA
1980-02-01,1980,2,1,NA
1980-03-01,1980,3,1,NA
1980-04-01,1980,4,1,NA
1980-05-01,1980,5,1,NA
1980-06-01,1980,6,1,NA
1980-07-01,1980,7,1,NA
1980-08-01,1980,8,1,NA
1980-09-01,1980,9,1,NA
1980-10-01,1980,10,1,NA
1980-11-01,1980,11,1,NA
1980-12-01,1980,12,1,NA
1981-01-01,1981,1,1,108.413
1981-02-01,1981,2,1,28.214
1981-03-01,1981,3,1,168.034
1981-04-01,1981,4,1,213.359
1981-05-01,1981,5,1,749.765
1981-06-01,1981,6,1,204.242
1981-07-01,1981,7,1,235.158
1981-08-01,1981,8,1,245.879
1981-09-01,1981,9,1,265.083
1981-10-01,1981,10,1,84.713
1981-11-01,1981,11,1,75.771
1981-12-01,1981,12,1,109.127
1982-01-01,1982,1,1,69.971
1982-02-01,1982,2,1,85.51
1982-03-01,1982,3,1,140.955
1982-04-01,1982,4,1,71.866
1982-05-01,1982,5,1,311.207
1982-06-01,1982,6,1,420.994
1982-07-01,1982,7,1,556.977
1982-08-01,1982,8,1,258.941
1982-09-01,1982,9,1,265.385
1982-10-01,1982,10,1,167.089
1982-11-01,1982,11,1,145.49
1982-12-01,1982,12,1,70.95
1983-01-01,1983,1,1,62.618
1983-02-01,1983,2,1,21.187
1983-03-01,1983,3,1,155.199
1983-04-01,1983,4,1,170.376
1983-05-01,1983,5,1,214.784
1983-06-01,1983,6,1,263.148
1983-07-01,1983,7,1,308.821
1983-08-01,1983,8,1,194.111
1983-09-01,1983,9,1,299.555
1983-10-01,1983,10,1,117.004
1983-11-01,1983,11,1,68.26
1983-12-01,1983,12,1,73.008
1984-01-01,1984,1,1,58.325
1984-02-01,1984,2,1,61.734
1984-03-01,1984,3,1,128.409
1984-04-01,1984,4,1,102.328
1984-05-01,1984,5,1,515.885
1984-06-01,1984,6,1,412.67
1984-07-01,1984,7,1,471.087
1984-08-01,1984,8,1,113.663
1984-09-01,1984,9,1,190.812
1984-10-01,1984,10,1,251.672
1984-11-01,1984,11,1,141.001
1984-12-01,1984,12,1,80.927
