"date","year","month","day","9414001"
1979-01-01,1979,1,1,16.875
1979-02-01,1979,2,1,26.669
1979-03-01,1979,3,1,22.556
1979-04-01,1979,4,1,24.753
1979-05-01,1979,5,1,225.793
1979-06-01,1979,6,1,98.519
1979-07-01,1979,7,1,258.775
1979-08-01,1979,8,1,383.671
1979-09-01,1979,9,1,146.148
1979-10-01,1979,10,1,116.771
1979-11-01,1979,11,1,143.556
1979-12-01,1979,12,1,120.958
1980-01-01,1980,1,1,4.277
1980-02-01,1980,2,1,167.164
1980-03-01,1980,3,1,51.477
1980-04-01,1980,4,1,262.09
1980-05-01,1980,5,1,446.692
1980-06-01,1980,6,1,241.581
1980-07-01,1980,7,1,247.973
1980-08-01,1980,8,1,233.588
1980-09-01,1980,9,1,63.326
1980-10-01,1980,10,1,5.642
1980-11-01,1980,11,1,73.908
1980-12-01,1980,12,1,100.855
1981-01-01,1981,1,1,108.837
1981-02-01,1981,2,1,19.868
1981-03-01,1981,3,1,77.73
1981-04-01,1981,4,1,104.57
1981-05-01,1981,5,1,391.585
1981-06-01,1981,6,1,178.942
1981-07-01,1981,7,1,141.143
1981-08-01,1981,8,1,106.125
1981-09-01,1981,9,1,111.079
1981-10-01,1981,10,1,65.61
1981-11-01,1981,11,1,36.721
1981-12-01,1981,12,1,48.839
1982-01-01,1982,1,1,52.759
1982-02-01,1982,2,1,42.023
1982-03-01,1982,3,1,57.62
1982-04-01,1982,4,1,23.317
1982-05-01,1982,5,1,218.166
1982-06-01,1982,6,1,280.182
1982-07-01,1982,7,1,330.414
1982-08-01,1982,8,1,177.04
1982-09-01,1982,9,1,141.69
1982-10-01,1982,10,1,166.757
1982-11-01,1982,11,1,58.754
1982-12-01,1982,12,1,4.395
1983-01-01,1983,1,1,57.96
1983-02-01,1983,2,1,10.201
1983-03-01,1983,3,1,28.917
1983-04-01,1983,4,1,130.846
1983-05-01,1983,5,1,151.819
1983-06-01,1983,6,1,201.657
1983-07-01,1983,7,1,199.564
1983-08-01,1983,8,1,127.847
1983-09-01,1983,9,1,125.34
1983-10-01,1983,10,1,98.733
1983-11-01,1983,11,1,8.446
1983-12-01,1983,12,1,20.435
1984-01-01,1984,1,1,48.479
1984-02-01,1984,2,1,76.217
1984-03-01,1984,3,1,33.312
1984-04-01,1984,4,1,22.288
1984-05-01,1984,5,1,395.044
1984-06-01,1984,6,1,214.185
1984-07-01,1984,7,1,269.601
1984-08-01,1984,8,1,89.352
1984-09-01,1984,9,1,123.465
1984-10-01,1984,10,1,270.549
1984-11-01,1984,11,1,36.717
1984-12-01,1984,12,1,43.461
1985-01-01,1985,1,1,64.704
1985-02-01,1985,2,1,29.832
1985-03-01,1985,3,1,70.443
1985-04-01,1985,4,1,132.711
1985-05-01,1985,5,1,286.351
1985-06-01,1985,6,1,177.777
1985-07-01,1985,7,1,117.287
1985-08-01,1985,8,1,138.729
1985-09-01,1985,9,1,127.856
1985-10-01,1985,10,1,77.628
1985-11-01,1985,11,1,82.066
1985-12-01,1985,12,1,13.501
1986-01-01,1986,1,1,19.673
1986-02-01,1986,2,1,77.898
1986-03-01,1986,3,1,74.885
1986-04-01,1986,4,1,195.82
1986-05-01,1986,5,1,323.677
1986-06-01,1986,6,1,275.838
1986-07-01,1986,7,1,127.981
1986-08-01,1986,8,1,244.317
1986-09-01,1986,9,1,68.768
1986-10-01,1986,10,1,63.508
1986-11-01,1986,11,1,181.359
1986-12-01,1986,12,1,22.045
1987-01-01,1987,1,1,4.897
1987-02-01,1987,2,1,12.282
1987-03-01,1987,3,1,92.152
1987-04-01,1987,4,1,98.079
1987-05-01,1987,5,1,113.931
1987-06-01,1987,6,1,215.561
1987-07-01,1987,7,1,315.539
1987-08-01,1987,8,1,167.718
1987-09-01,1987,9,1,86.708
1987-10-01,1987,10,1,104.253
1987-11-01,1987,11,1,62.937
1987-12-01,1987,12,1,52.724
1988-01-01,1988,1,1,50.735
1988-02-01,1988,2,1,0.25
1988-03-01,1988,3,1,61.508
1988-04-01,1988,4,1,52.46
1988-05-01,1988,5,1,98.262
1988-06-01,1988,6,1,252.501
1988-07-01,1988,7,1,114.222
1988-08-01,1988,8,1,205.382
1988-09-01,1988,9,1,43.825
1988-10-01,1988,10,1,135.024
1988-11-01,1988,11,1,20.325
1988-12-01,1988,12,1,53.952
1989-01-01,1989,1,1,30.49
1989-02-01,1989,2,1,15.94
1989-03-01,1989,3,1,40.561
1989-04-01,1989,4,1,35.58
1989-05-01,1989,5,1,42.172
1989-06-01,1989,6,1,284.281
1989-07-01,1989,7,1,198.441
1989-08-01,1989,8,1,186.018
1989-09-01,1989,9,1,47.658
1989-10-01,1989,10,1,49.991
1989-11-01,1989,11,1,29.948
1989-12-01,1989,12,1,184.384
1990-01-01,1990,1,1,12.75
1990-02-01,1990,2,1,43.152
1990-03-01,1990,3,1,97.147
1990-04-01,1990,4,1,114.248
1990-05-01,1990,5,1,174.887
1990-06-01,1990,6,1,209.555
1990-07-01,1990,7,1,105.853
1990-08-01,1990,8,1,167.981
1990-09-01,1990,9,1,220.681
1990-10-01,1990,10,1,75.484
1990-11-01,1990,11,1,43.104
1990-12-01,1990,12,1,32.104
1991-01-01,1991,1,1,32.228
1991-02-01,1991,2,1,8.657
1991-03-01,1991,3,1,44.477
1991-04-01,1991,4,1,127.233
1991-05-01,1991,5,1,301.911
1991-06-01,1991,6,1,108.779
1991-07-01,1991,7,1,283.875
1991-08-01,1991,8,1,74.108
1991-09-01,1991,9,1,142.922
1991-10-01,1991,10,1,52.61
1991-11-01,1991,11,1,41.052
1991-12-01,1991,12,1,205.63
1992-01-01,1992,1,1,7.159
1992-02-01,1992,2,1,46.382
1992-03-01,1992,3,1,49.036
1992-04-01,1992,4,1,153.909
1992-05-01,1992,5,1,281.06
1992-06-01,1992,6,1,296.522
1992-07-01,1992,7,1,142.021
1992-08-01,1992,8,1,115.648
1992-09-01,1992,9,1,160.175
1992-10-01,1992,10,1,209.802
1992-11-01,1992,11,1,55.896
1992-12-01,1992,12,1,94.429
1993-01-01,1993,1,1,46.92
1993-02-01,1993,2,1,3.793
1993-03-01,1993,3,1,68.205
1993-04-01,1993,4,1,154.549
1993-05-01,1993,5,1,418.942
1993-06-01,1993,6,1,418.634
1993-07-01,1993,7,1,364.499
1993-08-01,1993,8,1,163.463
1993-09-01,1993,9,1,54.832
1993-10-01,1993,10,1,101.144
1993-11-01,1993,11,1,71.53
1993-12-01,1993,12,1,150.855
1994-01-01,1994,1,1,22.062
1994-02-01,1994,2,1,24.588
1994-03-01,1994,3,1,40.166
1994-04-01,1994,4,1,115.782
1994-05-01,1994,5,1,172.608
1994-06-01,1994,6,1,296.562
1994-07-01,1994,7,1,313.624
1994-08-01,1994,8,1,93.45
1994-09-01,1994,9,1,204.799
1994-10-01,1994,10,1,159.945
1994-11-01,1994,11,1,122.382
1994-12-01,1994,12,1,125.156
1995-01-01,1995,1,1,36.201
1995-02-01,1995,2,1,3.297
1995-03-01,1995,3,1,46.033
1995-04-01,1995,4,1,166.621
1995-05-01,1995,5,1,82.167
1995-06-01,1995,6,1,435.752
1995-07-01,1995,7,1,312.041
1995-08-01,1995,8,1,253.465
1995-09-01,1995,9,1,55.262
1995-10-01,1995,10,1,92.013
1995-11-01,1995,11,1,22.268
1995-12-01,1995,12,1,1.107
1996-01-01,1996,1,1,35.325
1996-02-01,1996,2,1,59.226
1996-03-01,1996,3,1,74.919
1996-04-01,1996,4,1,96.318
