"date","year","month","day","9414001"
1979-01-01,1979,1,1,NA
1979-02-01,1979,2,1,NA
1979-03-01,1979,3,1,NA
1979-04-01,1979,4,1,NA
1979-05-01,1979,5,1,NA
1979-06-01,1979,6,1,NA
1979-07-01,1979,7,1,NA
1979-08-01,1979,8,1,NA
1979-09-01,1979,9,1,NA
1979-10-01,1979,10,1,NA
1979-11-01,1979,11,1,NA
1979-12-01,1979,12,1,NA
1980-01-01,1980,1,1,NA
1980-02-01,1980,2,1,NA
1980-03-01,1980,3,1,NA
1980-04-01,1980,4,1,NA
1980-05-01,1980,5,1,NA
1980-06-01,1980,6,1,NA
1980-07-01,1980,7,1,NA
1980-08-01,1980,8,1,NA
1980-09-01,1980,9,1,NA
1980-10-01,1980,10,1,NA
1980-11-01,1980,11,1,NA
1980-12-01,1980,12,1,NA
1981-01-01,1981,1,1,NA
1981-02-01,1981,2,1,NA
1981-03-01,1981,3,1,NA
1981-04-01,1981,4,1,NA
1981-05-01,1981,5,1,NA
1981-06-01,1981,6,1,NA
1981-07-01,1981,7,1,NA
1981-08-01,1981,8,1,NA
1981-09-01,1981,9,1,NA
1981-10-01,1981,10,1,NA
1981-11-01,1981,11,1,NA
1981-12-01,1981,12,1,NA
1982-01-01,1982,1,1,NA
1982-02-01,1982,2,1,NA
1982-03-01,1982,3,1,NA
1982-04-01,1982,4,1,NA
1982-05-01,1982,5,1,NA
1982-06-01,1982,6,1,NA
1982-07-01,1982,7,1,NA
1982-08-01,1982,8,1,NA
1982-09-01,1982,9,1,NA
1982-10-01,1982,10,1,NA
1982-11-01,1982,11,1,NA
1982-12-01,1982,12,1,NA
1983-01-01,1983,1,1,NA
1983-02-01,1983,2,1,NA
1983-03-01,1983,3,1,NA
1983-04-01,1983,4,1,NA
1983-05-01,1983,5,1,NA
1983-06-01,1983,6,1,NA
1983-07-01,1983,7,1,NA
1983-08-01,1983,8,1,NA
1983-09-01,1983,9,1,NA
1983-10-01,1983,10,1,NA
1983-11-01,1983,11,1,NA
1983-12-01,1983,12,1,NA
1984-01-01,1984,1,1,NA
1984-02-01,1984,2,1,NA
1984-03-01,1984,3,1,NA
1984-04-01,1984,4,1,NA
1984-05-01,1984,5,1,NA
1984-06-01,1984,6,1,NA
1984-07-01,1984,7,1,NA
1984-08-01,1984,8,1,NA
1984-09-01,1984,9,1,NA
1984-10-01,1984,10,1,NA
1984-11-01,1984,11,1,NA
1984-12-01,1984,12,1,NA
1985-01-01,1985,1,1,NA
1985-02-01,1985,2,1,NA
1985-03-01,1985,3,1,NA
