"date","year","month","day","9414001"
1979-01-01,1979,1,1,22.263449516129
1979-02-01,1979,2,1,20.9781562142857
1979-03-01,1979,3,1,18.854026
1979-04-01,1979,4,1,16.62836657
1979-05-01,1979,5,1,10.0640011290323
1979-06-01,1979,6,1,7.05899980666667
1979-07-01,1979,7,1,8.38613793225806
1979-08-01,1979,8,1,8.30451305483871
1979-09-01,1979,9,1,9.63278180666667
1979-10-01,1979,10,1,11.9665239483871
1979-11-01,1979,11,1,15.2049912466667
1979-12-01,1979,12,1,18.770598483871
1980-01-01,1980,1,1,21.525619
1980-02-01,1980,2,1,18.6091161724138
1980-03-01,1980,3,1,18.8915491290323
1980-04-01,1980,4,1,10.11899311
1980-05-01,1980,5,1,8.85566315806452
1980-06-01,1980,6,1,6.65091391
1980-07-01,1980,7,1,6.7076405
1980-08-01,1980,8,1,8.62037583870968
1980-09-01,1980,9,1,11.86889294
1980-10-01,1980,10,1,14.5137932967742
1980-11-01,1980,11,1,14.91003182
1980-12-01,1980,12,1,17.7434483451613
1981-01-01,1981,1,1,18.5065257096774
1981-02-01,1981,2,1,20.6021184285714
1981-03-01,1981,3,1,18.5498956774194
1981-04-01,1981,4,1,14.17117339
1981-05-01,1981,5,1,8.87481922258065
1981-06-01,1981,6,1,7.09724403666667
1981-07-01,1981,7,1,8.33941541290323
1981-08-01,1981,8,1,8.34844585806452
1981-09-01,1981,9,1,9.8758152
1981-10-01,1981,10,1,14.2566163580645
1981-11-01,1981,11,1,15.4898444666667
1981-12-01,1981,12,1,17.9904486129032
1982-01-01,1982,1,1,21.0353200322581
1982-02-01,1982,2,1,18.7844427142857
1982-03-01,1982,3,1,17.7361220612903
1982-04-01,1982,4,1,16.0760163233333
1982-05-01,1982,5,1,10.6289351387097
1982-06-01,1982,6,1,5.17135087
1982-07-01,1982,7,1,6.04262781935484
1982-08-01,1982,8,1,8.52705587741936
1982-09-01,1982,9,1,11.83587496
1982-10-01,1982,10,1,10.8004423935484
1982-11-01,1982,11,1,13.4568086433333
1982-12-01,1982,12,1,20.337534483871
1983-01-01,1983,1,1,21.9587491612903
1983-02-01,1983,2,1,20.2894876071429
1983-03-01,1983,3,1,17.7223106129032
1983-04-01,1983,4,1,13.4374877133333
1983-05-01,1983,5,1,9.07190903548387
1983-06-01,1983,6,1,5.21522518333333
1983-07-01,1983,7,1,5.69749016129032
1983-08-01,1983,8,1,8.6515852483871
