"date","year","month","day","9414001"
1979-01-01,1979,1,1,5.57049367741936
1979-02-01,1979,2,1,5.72344538214286
1979-03-01,1979,3,1,4.40741596709677
1979-04-01,1979,4,1,1.85032421266667
1979-05-01,1979,5,1,1.28721516967742
1979-06-01,1979,6,1,-2.28793916676667
1979-07-01,1979,7,1,-0.736858191935484
1979-08-01,1979,8,1,0.47002662
1979-09-01,1979,9,1,-1.2689784768
1979-10-01,1979,10,1,1.00248203774194
1979-11-01,1979,11,1,2.8130805
1979-12-01,1979,12,1,4.86812378645161
1980-01-01,1980,1,1,6.20269249677419
1980-02-01,1980,2,1,6.7351272662069
1980-03-01,1980,3,1,4.66897605483871
1980-04-01,1980,4,1,0.116449745666667
1980-05-01,1980,5,1,0.293197053922581
1980-06-01,1980,6,1,-1.599863675
1980-07-01,1980,7,1,-1.52362603483226
1980-08-01,1980,8,1,-0.352550456612903
1980-09-01,1980,9,1,0.1053205735
1980-10-01,1980,10,1,0.703768742580645
1980-11-01,1980,11,1,1.83250288933333
1980-12-01,1980,12,1,4.54183226032258
1981-01-01,1981,1,1,5.66105449258065
1981-02-01,1981,2,1,5.6521253
1981-03-01,1981,3,1,5.20732694516129
1981-04-01,1981,4,1,3.38625127933333
1981-05-01,1981,5,1,0.461144973870968
1981-06-01,1981,6,1,-0.842041030666667
1981-07-01,1981,7,1,-0.814030084516129
1981-08-01,1981,8,1,-1.13385543948387
1981-09-01,1981,9,1,-1.12090150353333
1981-10-01,1981,10,1,1.53492154374194
1981-11-01,1981,11,1,2.15344345723333
1981-12-01,1981,12,1,3.49685330967742
1982-01-01,1982,1,1,6.07087502870968
1982-02-01,1982,2,1,4.77788165464286
1982-03-01,1982,3,1,4.13514743419355
1982-04-01,1982,4,1,3.170978175
1982-05-01,1982,5,1,1.78659938451613
1982-06-01,1982,6,1,-2.14764990428333
1982-07-01,1982,7,1,-0.824184465354839
1982-08-01,1982,8,1,-0.179283032064516
1982-09-01,1982,9,1,1.6949017306
1982-10-01,1982,10,1,0.559584437096774
1982-11-01,1982,11,1,1.44581427186667
1982-12-01,1982,12,1,4.87359992548387
1983-01-01,1983,1,1,7.03362026451613
1983-02-01,1983,2,1,5.47172117142857
1983-03-01,1983,3,1,3.8445616683871
1983-04-01,1983,4,1,1.85684996933333
1983-05-01,1983,5,1,-0.396174900870968
1983-06-01,1983,6,1,-2.86645200666667
1983-07-01,1983,7,1,-2.41377883387097
1983-08-01,1983,8,1,-1.19786742290323
1983-09-01,1983,9,1,-1.13344946826667
1983-10-01,1983,10,1,1.73193093003226
1983-11-01,1983,11,1,3.43367538333333
1983-12-01,1983,12,1,6.02570795806452
1984-01-01,1984,1,1,5.82121702580645
1984-02-01,1984,2,1,4.28145971827586
1984-03-01,1984,3,1,4.72524763903226
1984-04-01,1984,4,1,0.883201589666667
1984-05-01,1984,5,1,-1.23930068064516
1984-06-01,1984,6,1,-3.57882407133333
1984-07-01,1984,7,1,-2.09767014193548
1984-08-01,1984,8,1,-1.70114983358065
1984-09-01,1984,9,1,0.542018793666667
1984-10-01,1984,10,1,1.21605301658065
1984-11-01,1984,11,1,2.2927802831
1984-12-01,1984,12,1,4.38773930003226
1985-01-01,1985,1,1,4.97706928709677
1985-02-01,1985,2,1,4.98795028571429
1985-03-01,1985,3,1,3.46212496829032
1985-04-01,1985,4,1,0.324957466766667
1985-05-01,1985,5,1,0.325244719451613
1985-06-01,1985,6,1,1.30101759233333
1985-07-01,1985,7,1,-1.2414831833871
1985-08-01,1985,8,1,-0.870924037451613
1985-09-01,1985,9,1,-0.136666679
1985-10-01,1985,10,1,1.66045687267742
1985-11-01,1985,11,1,4.72902452833333
1985-12-01,1985,12,1,4.43600746290323
1986-01-01,1986,1,1,4.68665923580645
1986-02-01,1986,2,1,5.84666310357143
1986-03-01,1986,3,1,3.30721183
1986-04-01,1986,4,1,2.35628302463333
1986-05-01,1986,5,1,0.507382331290323
1986-06-01,1986,6,1,-1.21175374833333
1986-07-01,1986,7,1,-0.362113146774194
1986-08-01,1986,8,1,-0.746494592903226
1986-09-01,1986,9,1,-0.0356953466666666
1986-10-01,1986,10,1,3.21285408612903
1986-11-01,1986,11,1,1.555212998
1986-12-01,1986,12,1,4.10888181451613
1987-01-01,1987,1,1,5.83384411935484
1987-02-01,1987,2,1,6.74377260785714
1987-03-01,1987,3,1,5.57664323870968
1987-04-01,1987,4,1,2.51529984466667
1987-05-01,1987,5,1,-0.624350195806452
1987-06-01,1987,6,1,-0.396715758666667
1987-07-01,1987,7,1,-0.0126948002258064
1987-08-01,1987,8,1,-1.33813840677419
1987-09-01,1987,9,1,-0.336912197333333
1987-10-01,1987,10,1,2.46414223796774
1987-11-01,1987,11,1,4.20208567586667
1987-12-01,1987,12,1,3.80447081032258
1988-01-01,1988,1,1,4.40351326806452
1988-02-01,1988,2,1,7.48453819655172
1988-03-01,1988,3,1,4.42885866064516
1988-04-01,1988,4,1,2.1975160686
1988-05-01,1988,5,1,-0.308467706774194
1988-06-01,1988,6,1,-1.56405958696667
1988-07-01,1988,7,1,-3.82435242406452
1988-08-01,1988,8,1,-1.48771528770968
1988-09-01,1988,9,1,-0.138635166766667
1988-10-01,1988,10,1,0.0653835964193548
1988-11-01,1988,11,1,2.62424722303333
1988-12-01,1988,12,1,3.9601767146871
1989-01-01,1989,1,1,6.03523878709677
1989-02-01,1989,2,1,6.98355338571429
1989-03-01,1989,3,1,3.25362468193548
1989-04-01,1989,4,1,1.55934545143333
1989-05-01,1989,5,1,0.215536377290323
1989-06-01,1989,6,1,0.813005451533333
1989-07-01,1989,7,1,-1.86762938219355
1989-08-01,1989,8,1,-1.2791414383871
1989-09-01,1989,9,1,-0.778599226
1989-10-01,1989,10,1,1.40965146580645
1989-11-01,1989,11,1,3.41867797733333
1989-12-01,1989,12,1,4.99690249193548
1990-01-01,1990,1,1,5.17327881290323
1990-02-01,1990,2,1,7.529255025
1990-03-01,1990,3,1,3.48929721806452
1990-04-01,1990,4,1,1.31124520637
1990-05-01,1990,5,1,-0.00837496512903227
1990-06-01,1990,6,1,-1.5912556774
1990-07-01,1990,7,1,-1.98689156048387
1990-08-01,1990,8,1,-0.427367791677419
1990-09-01,1990,9,1,-0.2478802161
1990-10-01,1990,10,1,2.13908769612903
1990-11-01,1990,11,1,2.63098024433333
1990-12-01,1990,12,1,3.84386101806452
1991-01-01,1991,1,1,4.96163953645161
1991-02-01,1991,2,1,5.461202635
1991-03-01,1991,3,1,4.69345216177419
1991-04-01,1991,4,1,2.40936148033333
1991-05-01,1991,5,1,0.610129220645161
1991-06-01,1991,6,1,-1.41320635526667
1991-07-01,1991,7,1,-1.6342088616129
1991-08-01,1991,8,1,-2.07902088393548
1991-09-01,1991,9,1,0.203252362233333
1991-10-01,1991,10,1,0.219528758225806
1991-11-01,1991,11,1,2.97113088566667
1991-12-01,1991,12,1,3.08053091521968
