"date","year","month","day","9414001"
1979-01-01,1979,1,1,39.9740570972
1979-02-01,1979,2,1,22.15514886
1979-03-01,1979,3,1,49.7296854128
1979-04-01,1979,4,1,51.18350332
1979-05-01,1979,5,1,466.01806276
1979-06-01,1979,6,1,212.2380278367
1979-07-01,1979,7,1,501.54433300284
1979-08-01,1979,8,1,767.225649306
1979-09-01,1979,9,1,327.062837236
1979-10-01,1979,10,1,229.46816983
1979-11-01,1979,11,1,240.356785767
1979-12-01,1979,12,1,192.240331101
1980-01-01,1980,1,1,23.0775877028
1980-02-01,1980,2,1,306.5896623423
1980-03-01,1980,3,1,99.38287991302
1980-04-01,1980,4,1,366.07136817131
1980-05-01,1980,5,1,805.38197583
1980-06-01,1980,6,1,440.601484142341
1980-07-01,1980,7,1,379.66254595018
1980-08-01,1980,8,1,461.765716424733
1980-09-01,1980,9,1,136.77231991746
1980-10-01,1980,10,1,21.1047158864
1980-11-01,1980,11,1,180.9280573991
1980-12-01,1980,12,1,177.041107395
1981-01-01,1981,1,1,238.63773609316
1981-02-01,1981,2,1,40.2303593492
1981-03-01,1981,3,1,139.962550184
1981-04-01,1981,4,1,169.96697399
1981-05-01,1981,5,1,919.311778604
1981-06-01,1981,6,1,360.67910623275
1981-07-01,1981,7,1,386.42959131319
1981-08-01,1981,8,1,205.52321470702
1981-09-01,1981,9,1,285.253572796
1981-10-01,1981,10,1,125.5470621
1981-11-01,1981,11,1,101.0138507139
1981-12-01,1981,12,1,101.2955225835
1982-01-01,1982,1,1,95.2530345467
1982-02-01,1982,2,1,120.39159599
1982-03-01,1982,3,1,118.141032339
1982-04-01,1982,4,1,58.0769316668
1982-05-01,1982,5,1,502.95791056
1982-06-01,1982,6,1,652.62712614206
1982-07-01,1982,7,1,661.19654025
1982-08-01,1982,8,1,445.8532723
1982-09-01,1982,9,1,305.42394067149
1982-10-01,1982,10,1,341.19838003
1982-11-01,1982,11,1,136.994399421
1982-12-01,1982,12,1,5.7420033964
1983-01-01,1983,1,1,115.2140000089
1983-02-01,1983,2,1,12.8280730058
1983-03-01,1983,3,1,53.68890289214
1983-04-01,1983,4,1,257.0215594853
1983-05-01,1983,5,1,255.36680609
1983-06-01,1983,6,1,432.84364141877
1983-07-01,1983,7,1,410.064484451
1983-08-01,1983,8,1,274.3189146483
1983-09-01,1983,9,1,262.2339117437
1983-10-01,1983,10,1,186.51600232
1983-11-01,1983,11,1,7.6260409
1983-12-01,1983,12,1,68.88711168052
1984-01-01,1984,1,1,83.05704622
1984-02-01,1984,2,1,124.2696133513
1984-03-01,1984,3,1,106.391688634
1984-04-01,1984,4,1,93.2357491
1984-05-01,1984,5,1,806.65080703
1984-06-01,1984,6,1,462.89891854
1984-07-01,1984,7,1,475.51408452924
1984-08-01,1984,8,1,168.594493096809
1984-09-01,1984,9,1,225.41539709809
1984-10-01,1984,10,1,481.912532626
1984-11-01,1984,11,1,96.890482884
1984-12-01,1984,12,1,79.696248777
1985-01-01,1985,1,1,113.31039002241
1985-02-01,1985,2,1,73.478690432
1985-03-01,1985,3,1,145.07815919422
1985-04-01,1985,4,1,292.365489337
1985-05-01,1985,5,1,608.81670700118
1985-06-01,1985,6,1,368.4777447
1985-07-01,1985,7,1,255.47855241172
1985-08-01,1985,8,1,231.137584149
1985-09-01,1985,9,1,244.91033945999
1985-10-01,1985,10,1,172.32881108
1985-11-01,1985,11,1,163.8596611
1985-12-01,1985,12,1,35.81250539374
1986-01-01,1986,1,1,64.54215064236
1986-02-01,1986,2,1,128.33494689
1986-03-01,1986,3,1,118.28667337729
1986-04-01,1986,4,1,311.691402635
1986-05-01,1986,5,1,588.13146586473
1986-06-01,1986,6,1,544.638333112599
1986-07-01,1986,7,1,276.15801079163
1986-08-01,1986,8,1,432.2671879
1986-09-01,1986,9,1,191.098211404316
1986-10-01,1986,10,1,123.592349412
1986-11-01,1986,11,1,356.278771506
1986-12-01,1986,12,1,44.8209564133
1987-01-01,1987,1,1,14.060687873
1987-02-01,1987,2,1,52.380654156
1987-03-01,1987,3,1,173.72796638465
1987-04-01,1987,4,1,186.6260149709
1987-05-01,1987,5,1,263.721450933
1987-06-01,1987,6,1,375.463158916977
1987-07-01,1987,7,1,545.60089652
1987-08-01,1987,8,1,326.255235355107
1987-09-01,1987,9,1,175.27117230255
1987-10-01,1987,10,1,179.97262442
1987-11-01,1987,11,1,145.8800073443
1987-12-01,1987,12,1,87.347698068
1988-01-01,1988,1,1,95.7087207845
1988-02-01,1988,2,1,0.2759053771
1988-03-01,1988,3,1,147.968117217
1988-04-01,1988,4,1,143.77296091564
1988-05-01,1988,5,1,180.312205386
1988-06-01,1988,6,1,499.38969628
1988-07-01,1988,7,1,213.543553266403
1988-08-01,1988,8,1,448.27346756597
1988-09-01,1988,9,1,110.388261343
1988-10-01,1988,10,1,252.846112713
1988-11-01,1988,11,1,55.2487410437
1988-12-01,1988,12,1,124.77395839
1989-01-01,1989,1,1,65.6495620489
1989-02-01,1989,2,1,48.3386497357
1989-03-01,1989,3,1,75.0896489
1989-04-01,1989,4,1,95.61354852041
1989-05-01,1989,5,1,124.15615654177
1989-06-01,1989,6,1,493.22857329755
1989-07-01,1989,7,1,401.21148970553
1989-08-01,1989,8,1,376.59885290856
1989-09-01,1989,9,1,100.285226389851
1989-10-01,1989,10,1,115.2545533781
1989-11-01,1989,11,1,64.0522180971
1989-12-01,1989,12,1,340.9390738
1990-01-01,1990,1,1,53.8073553377
1990-02-01,1990,2,1,101.800492176
1990-03-01,1990,3,1,180.300817485
1990-04-01,1990,4,1,250.695823571
1990-05-01,1990,5,1,435.04112436491
1990-06-01,1990,6,1,384.560364662817
1990-07-01,1990,7,1,263.862519957096
1990-08-01,1990,8,1,334.13389745994
1990-09-01,1990,9,1,392.939886852355
1990-10-01,1990,10,1,159.36691488
1990-11-01,1990,11,1,112.4503347834
1990-12-01,1990,12,1,81.8209389298
1991-01-01,1991,1,1,43.6464050999
1991-02-01,1991,2,1,25.970582055
1991-03-01,1991,3,1,117.15917078015
1991-04-01,1991,4,1,267.571658128
1991-05-01,1991,5,1,653.6758729998
1991-06-01,1991,6,1,250.9450311297
1991-07-01,1991,7,1,474.31268561771
1991-08-01,1991,8,1,261.00732055135
1991-09-01,1991,9,1,266.48722572658
1991-10-01,1991,10,1,113.4281045793
1991-11-01,1991,11,1,90.573357298
1991-12-01,1991,12,1,328.277071105
1992-01-01,1992,1,1,0.094152456502
1992-02-01,1992,2,1,62.42689228792
1992-03-01,1992,3,1,95.495952032
1992-04-01,1992,4,1,242.232572481
1992-05-01,1992,5,1,613.22983916
1992-06-01,1992,6,1,505.65553808
1992-07-01,1992,7,1,251.46391376093
1992-08-01,1992,8,1,191.870536407853
1992-09-01,1992,9,1,305.21080428
1992-10-01,1992,10,1,296.582085709532
1992-11-01,1992,11,1,87.970822418
1992-12-01,1992,12,1,163.013624747
1993-01-01,1993,1,1,75.1456591066
1993-02-01,1993,2,1,13.827154251
1993-03-01,1993,3,1,146.36101882624
1993-04-01,1993,4,1,285.71774543
1993-05-01,1993,5,1,668.470159596
1993-06-01,1993,6,1,680.783458645
1993-07-01,1993,7,1,493.297363041844
1993-08-01,1993,8,1,343.100190124571
1993-09-01,1993,9,1,106.266898673
1993-10-01,1993,10,1,183.9654277435
1993-11-01,1993,11,1,168.907592414
1993-12-01,1993,12,1,221.67213245541
1994-01-01,1994,1,1,41.130476309
1994-02-01,1994,2,1,54.299546124
1994-03-01,1994,3,1,86.47715894
1994-04-01,1994,4,1,289.736064102
1994-05-01,1994,5,1,390.92963521
1994-06-01,1994,6,1,546.33101799539
1994-07-01,1994,7,1,509.7531919317
1994-08-01,1994,8,1,186.27422755325
1994-09-01,1994,9,1,361.336873183
1994-10-01,1994,10,1,248.552609621
1994-11-01,1994,11,1,299.821048292
1994-12-01,1994,12,1,166.76963087
1995-01-01,1995,1,1,79.714506156
1995-02-01,1995,2,1,6.97571088
1995-03-01,1995,3,1,75.143269593
1995-04-01,1995,4,1,289.658432613
1995-05-01,1995,5,1,198.37110959
1995-06-01,1995,6,1,736.35171654963
1995-07-01,1995,7,1,581.45352728153
1995-08-01,1995,8,1,477.56273719795
1995-09-01,1995,9,1,126.269292981
1995-10-01,1995,10,1,203.59795255
1995-11-01,1995,11,1,50.240036609
1995-12-01,1995,12,1,0.0394820836
1996-01-01,1996,1,1,75.57695671597
1996-02-01,1996,2,1,123.0955653736
1996-03-01,1996,3,1,149.7527882679
1996-04-01,1996,4,1,174.174311403
1996-05-01,1996,5,1,260.843571146
1996-06-01,1996,6,1,221.7935380548
1996-07-01,1996,7,1,109.315277196
1996-08-01,1996,8,1,366.28777843298
1996-09-01,1996,9,1,149.356930451335
1996-10-01,1996,10,1,153.505180093
1996-11-01,1996,11,1,121.0673326808
1996-12-01,1996,12,1,78.5210868452
1997-01-01,1997,1,1,138.1364319458
1997-02-01,1997,2,1,54.1896711096
1997-03-01,1997,3,1,23.013760769
1997-04-01,1997,4,1,612.491933389
1997-05-01,1997,5,1,236.991859901
1997-06-01,1997,6,1,614.9492879
1997-07-01,1997,7,1,627.4162903201
1997-08-01,1997,8,1,338.88220455971
1997-09-01,1997,9,1,275.46425772
1997-10-01,1997,10,1,316.002156652
1997-11-01,1997,11,1,254.526184847
1997-12-01,1997,12,1,144.028701401
1998-01-01,1998,1,1,48.783071423
1998-02-01,1998,2,1,25.86432409
1998-03-01,1998,3,1,62.0056108605
1998-04-01,1998,4,1,89.90660084
1998-05-01,1998,5,1,173.1692489039
1998-06-01,1998,6,1,198.962271039
1998-07-01,1998,7,1,217.96968021804
1998-08-01,1998,8,1,311.575467424
1998-09-01,1998,9,1,145.08320814326
1998-10-01,1998,10,1,35.40551184077
1998-11-01,1998,11,1,58.514625805
1998-12-01,1998,12,1,65.096372666
1999-01-01,1999,1,1,35.65202736958
1999-02-01,1999,2,1,50.4988589261
1999-03-01,1999,3,1,104.508020605
1999-04-01,1999,4,1,78.4588346915
1999-05-01,1999,5,1,225.973237356
1999-06-01,1999,6,1,567.75489507007
1999-07-01,1999,7,1,207.362360459774
1999-08-01,1999,8,1,478.19679737399
1999-09-01,1999,9,1,376.979540321844
1999-10-01,1999,10,1,70.335057966
1999-11-01,1999,11,1,88.0105045272
1999-12-01,1999,12,1,57.055798986
2000-01-01,2000,1,1,59.353620578
2000-02-01,2000,2,1,232.069152391
2000-03-01,2000,3,1,130.724205093
2000-04-01,2000,4,1,155.004261183
2000-05-01,2000,5,1,188.779522521
2000-06-01,2000,6,1,850.05528394177
2000-07-01,2000,7,1,349.13741398497
2000-08-01,2000,8,1,306.845066084
2000-09-01,2000,9,1,298.705694781
2000-10-01,2000,10,1,165.056846114
2000-11-01,2000,11,1,155.08980245208
2000-12-01,2000,12,1,164.85729687126
2001-01-01,2001,1,1,192.7307962059
2001-02-01,2001,2,1,55.6097265866
2001-03-01,2001,3,1,112.416266923
2001-04-01,2001,4,1,122.97826316
2001-05-01,2001,5,1,607.4511531
2001-06-01,2001,6,1,558.409679262
2001-07-01,2001,7,1,729.453253
2001-08-01,2001,8,1,277.680926338
2001-09-01,2001,9,1,90.342058967
2001-10-01,2001,10,1,50.759746876
2001-11-01,2001,11,1,140.160872955
2001-12-01,2001,12,1,16.065678971
2002-01-01,2002,1,1,43.942210743
2002-02-01,2002,2,1,96.511833817
2002-03-01,2002,3,1,253.0286793626
2002-04-01,2002,4,1,225.5272462059
2002-05-01,2002,5,1,384.33267975
2002-06-01,2002,6,1,377.54816846795
2002-07-01,2002,7,1,262.13195797754
2002-08-01,2002,8,1,404.21813513348
2002-09-01,2002,9,1,304.03811178531
2002-10-01,2002,10,1,598.0689107
2002-11-01,2002,11,1,269.4225236
2002-12-01,2002,12,1,163.3074221468
2003-01-01,2003,1,1,87.6491136873
2003-02-01,2003,2,1,30.9078152795
2003-03-01,2003,3,1,48.634740355
2003-04-01,2003,4,1,84.958163538
2003-05-01,2003,5,1,136.560151335
2003-06-01,2003,6,1,829.37243041246
2003-07-01,2003,7,1,329.131704847
2003-08-01,2003,8,1,229.72472543619
2003-09-01,2003,9,1,323.190337117174
2003-10-01,2003,10,1,189.574272316
2003-11-01,2003,11,1,191.7714993502
2003-12-01,2003,12,1,180.0276163148
2004-01-01,2004,1,1,11.529642672
2004-02-01,2004,2,1,47.793346179
2004-03-01,2004,3,1,135.97032785634
2004-04-01,2004,4,1,452.619272988
2004-05-01,2004,5,1,30.1112127588
2004-06-01,2004,6,1,674.1914360537
2004-07-01,2004,7,1,454.79103661786
2004-08-01,2004,8,1,179.952670827
2004-09-01,2004,9,1,255.265065803755
2004-10-01,2004,10,1,313.23842033193
2004-11-01,2004,11,1,156.96951624687
2004-12-01,2004,12,1,100.073970319
2005-01-01,2005,1,1,66.77758380819
2005-02-01,2005,2,1,8.363103522
2005-03-01,2005,3,1,118.260820497
2005-04-01,2005,4,1,85.5852286421
2005-05-01,2005,5,1,831.61334383
2005-06-01,2005,6,1,624.2309894
2005-07-01,2005,7,1,322.50595935227
2005-08-01,2005,8,1,466.340072011489
2005-09-01,2005,9,1,109.05936586793
2005-10-01,2005,10,1,83.88628901964
2005-11-01,2005,11,1,388.540684382
